,Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Place Code,Declared County/Area,Declaration Request Number,Incident Duration Days,time
1640,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99039.0,Gadsden (County),17094.0,44 days 00:00:00.000000000,2017Q3
1641,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99041.0,Gilchrist (County),17094.0,44 days 00:00:00.000000000,2017Q3
1642,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99043.0,Glades (County),17094.0,44 days 00:00:00.000000000,2017Q3
1643,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99045.0,Gulf (County),17094.0,44 days 00:00:00.000000000,2017Q3
1644,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99047.0,Hamilton (County),17094.0,44 days 00:00:00.000000000,2017Q3
1645,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99049.0,Hardee (County),17094.0,44 days 00:00:00.000000000,2017Q3
1646,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99051.0,Hendry (County),17094.0,44 days 00:00:00.000000000,2017Q3
1647,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99053.0,Hernando (County),17094.0,44 days 00:00:00.000000000,2017Q3
1648,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99055.0,Highlands (County),17094.0,44 days 00:00:00.000000000,2017Q3
1649,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99057.0,Hillsborough (County),17094.0,44 days 00:00:00.000000000,2017Q3
1650,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99059.0,Holmes (County),17094.0,44 days 00:00:00.000000000,2017Q3
1651,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99061.0,Indian River (County),17094.0,44 days 00:00:00.000000000,2017Q3
1652,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99063.0,Jackson (County),17094.0,44 days 00:00:00.000000000,2017Q3
1653,3385.0,No,No,Yes,No,FL,9/5/2017,EM,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99065.0,Jefferson (County),17094.0,44 days 00:00:00.000000000,2017Q3
